driverId,constructorId,grid,year,points,winner
4,4,1,2006,10.0,1
11,8,19,2006,0.0,0
8,1,3,2006,0.0,0
3,3,8,2006,0.0,0
13,6,21,2006,0.0,0
2,2,15,2006,2.0,0
14,9,7,2006,6.0,0
4,4,1,2006,10.0,1
11,8,20,2006,0.0,0
14,9,11,2006,0.0,0
3,3,12,2006,0.0,0
2,2,9,2006,2.0,0
13,6,4,2006,4.0,0
8,1,2,2006,6.0,0
4,4,1,2006,10.0,1
3,3,6,2006,0.0,0
11,8,20,2006,0.0,0
14,9,22,2006,1.0,0
2,2,13,2006,2.0,0
13,6,10,2006,4.0,0
8,1,3,2006,6.0,0
4,4,1,2006,10.0,1
2,2,10,2006,0.0,0
8,1,9,2006,0.0,0
11,8,18,2006,0.0,0
3,3,21,2006,0.0,0
14,9,17,2006,2.0,0
4,4,5,2006,4.0,0
13,6,2,2006,8.0,0
11,8,21,2006,0.0,0
3,3,18,2006,0.0,0
14,9,9,2006,0.0,0
2,2,11,2006,1.0,0
8,1,6,2006,4.0,0
13,6,2,2006,6.0,0
4,4,3,2006,8.0,0
3,3,14,2006,0.0,0
2,2,15,2006,0.0,0
11,8,17,2006,0.0,0
14,9,10,2006,0.0,0
4,4,7,2006,4.0,0
8,1,1,2006,6.0,0
13,6,3,2006,8.0,0
9,2,9,2006,0.0,0
3,3,18,2006,0.0,0
8,1,1,2006,0.0,0
4,4,15,2006,0.0,0
11,8,19,2006,0.0,0
13,6,2,2006,2.0,0
14,9,12,2006,4.0,0
2,2,10,2006,6.0,0
8,1,7,2006,0.0,0
3,3,14,2006,0.0,0
11,8,21,2006,0.0,0
14,9,16,2006,0.0,0
